OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
209,1/26/1963 0:00:00,Navajo Reservoir,9109090,76790,6050,36.806420000000003,-107.609369999999998
210,1/27/1963 0:00:00,Navajo Reservoir,9109090,77319,6050,36.806420000000003,-107.609369999999998
211,1/28/1963 0:00:00,Navajo Reservoir,9109090,77319,6050,36.806420000000003,-107.609369999999998
212,1/29/1963 0:00:00,Navajo Reservoir,9109090,77849,6050,36.806420000000003,-107.609369999999998
213,1/30/1963 0:00:00,Navajo Reservoir,9109090,78027,6050,36.806420000000003,-107.609369999999998
214,1/31/1963 0:00:00,Navajo Reservoir,9109090,78414,6050,36.806420000000003,-107.609369999999998
215,2/1/1963 0:00:00,Navajo Reservoir,9109090,78625,6050,36.806420000000003,-107.609369999999998
216,2/2/1963 0:00:00,Navajo Reservoir,9109090,78835,6050,36.806420000000003,-107.609369999999998
217,2/3/1963 0:00:00,Navajo Reservoir,9109090,80098,6050,36.806420000000003,-107.609369999999998
218,2/4/1963 0:00:00,Navajo Reservoir,9109090,83045,6050,36.806420000000003,-107.609369999999998
219,2/5/1963 0:00:00,Navajo Reservoir,9109090,85571,6050,36.806420000000003,-107.609369999999998
220,2/6/1963 0:00:00,Navajo Reservoir,9109090,87887,6050,36.806420000000003,-107.609369999999998
221,2/7/1963 0:00:00,Navajo Reservoir,9109090,90412,6050,36.806420000000003,-107.609369999999998
222,2/8/1963 0:00:00,Navajo Reservoir,9109090,92940,6050,36.806420000000003,-107.609369999999998
223,2/9/1963 0:00:00,Navajo Reservoir,9109090,94623,6050,36.806420000000003,-107.609369999999998
224,2/10/1963 0:00:00,Navajo Reservoir,9109090,96308,6050,36.806420000000003,-107.609369999999998
225,2/11/1963 0:00:00,Navajo Reservoir,9109090,97991,6050,36.806420000000003,-107.609369999999998
226,2/12/1963 0:00:00,Navajo Reservoir,9109090,100096,6050,36.806420000000003,-107.609369999999998
227,2/13/1963 0:00:00,Navajo Reservoir,9109090,100518,6050,36.806420000000003,-107.609369999999998
228,2/14/1963 0:00:00,Navajo Reservoir,9109090,100729,6050,36.806420000000003,-107.609369999999998
229,2/15/1963 0:00:00,Navajo Reservoir,9109090,101359,6050,36.806420000000003,-107.609369999999998
230,2/16/1963 0:00:00,Navajo Reservoir,9109090,101991,6050,36.806420000000003,-107.609369999999998
231,2/17/1963 0:00:00,Navajo Reservoir,9109090,102624,6050,36.806420000000003,-107.609369999999998
232,2/18/1963 0:00:00,Navajo Reservoir,9109090,103254,6050,36.806420000000003,-107.609369999999998
233,2/19/1963 0:00:00,Navajo Reservoir,9109090,103465,6050,36.806420000000003,-107.609369999999998
234,2/20/1963 0:00:00,Navajo Reservoir,9109090,103465,6050,36.806420000000003,-107.609369999999998
235,2/21/1963 0:00:00,Navajo Reservoir,9109090,104306,6050,36.806420000000003,-107.609369999999998
236,2/22/1963 0:00:00,Navajo Reservoir,9109090,104728,6050,36.806420000000003,-107.609369999999998
237,2/23/1963 0:00:00,Navajo Reservoir,9109090,106412,6050,36.806420000000003,-107.609369999999998
238,2/24/1963 0:00:00,Navajo Reservoir,9109090,106623,6050,36.806420000000003,-107.609369999999998
239,2/25/1963 0:00:00,Navajo Reservoir,9109090,107254,6050,36.806420000000003,-107.609369999999998
240,2/26/1963 0:00:00,Navajo Reservoir,9109090,108097,6050,36.806420000000003,-107.609369999999998
241,2/27/1963 0:00:00,Navajo Reservoir,9109090,108728,6050,36.806420000000003,-107.609369999999998
242,2/28/1963 0:00:00,Navajo Reservoir,9109090,109359,6050,36.806420000000003,-107.609369999999998
243,3/1/1963 0:00:00,Navajo Reservoir,9109090,110032,6050,36.806420000000003,-107.609369999999998
244,3/2/1963 0:00:00,Navajo Reservoir,9109090,110787,6050,36.806420000000003,-107.609369999999998
