STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
32,1503,15030101,Havasu-Mohave Lake,1985,0.500,0.08,0.00,0.08,140.00,1.64,1.72,597.66,,,,,,,,,,,,
06,1503,15030101,Havasu-Mohave Lake,1985,0.000,0.00,0.00,0.00,0.00,1.45,1.45,186.15,,,,,,,,,,,,
32,1503,15030102,Piute Wash,1985,0.120,0.02,0.00,0.02,167.00,0.16,0.18,253.97,,,,,,,,,,,,
06,1503,15030102,Piute Wash,1985,0.040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1503,15030103,Sacramento Wash,1985,1.420,0.24,0.00,0.24,148.00,0.64,0.87,116.94,,,,,,,,,,,,
04,1503,15030104,Imperial Reservoir,1985,7.760,0.00,1.52,1.52,175.00,1.48,3.00,225.97,,,,,,,,,,,,
06,1503,15030104,Imperial Reservoir,1985,0.490,0.03,0.00,0.03,61.00,4.45,4.48,228.70,,,,,,,,,,,,
04,1503,15030105,Bouse Wash,1985,1.500,0.26,0.00,0.26,153.00,0.00,0.26,153.33,,,,,,,,,,,,
04,1503,15030106,Tyson Wash,1985,1.350,0.22,0.00,0.22,148.15,0.00,0.22,148.15,,,,,,,,,,,,
04,1503,15030107,Lower Colorado,1985,3.410,0.37,0.00,0.37,96.77,0.00,0.37,96.77,,,,,,,,,,,,
06,1503,15030107,Lower Colorado,1985,1.230,0.01,0.04,0.06,41.00,0.37,0.43,112.76,,,,,,,,,,,,
04,1503,15030108,Yuma Desert,1985,37.560,10.53,0.00,10.53,250.00,6.64,17.16,167.95,,,,,,,,,,,,
04,1503,15030201,Big Sandy,1985,0.410,0.04,0.00,0.04,98.00,0.02,0.07,107.14,,,,,,,,,,,,
04,1503,15030202,Burro,1985,0.050,0.00,0.00,0.00,0.00,0.75,0.75,219.67,,,,,,,,,,,,
04,1503,15030203,Santa Maria,1985,1.000,0.11,0.00,0.11,100.00,0.62,0.73,146.07,,,,,,,,,,,,
04,1503,15030204,Bill Williams,1985,0.070,0.01,0.00,0.01,142.86,0.00,0.01,142.86,,,,,,,,,,,,
35,1504,15040001,Upper Gila,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1504,15040002,Upper Gila-Mangas,1985,1.930,0.33,0.00,0.33,150.26,0.00,0.33,150.26,,,,,,,,,,,,
35,1504,15040002,Upper Gila-Mangas,1985,2.470,0.20,0.00,0.20,72.87,0.00,0.20,72.87,,,,,,,,,,,,
35,1504,15040003,Animas Valley,1985,1.740,0.11,0.00,0.11,57.00,0.85,0.96,173.04,,,,,,,,,,,,
04,1504,15040003,Animas Valley,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1504,15040004,San Francisco,1985,1.710,0.11,0.00,0.11,58.00,0.08,0.19,79.07,,,,,,,,,,,,
04,1504,15040004,San Francisco,1985,0.000,0.00,0.00,0.00,0.00,1.03,1.03,132.95,,,,,,,,,,,,
04,1504,15040005,Upper Gila-San Carlos Reservoir,1985,7.230,1.21,0.00,1.21,149.00,2.90,4.11,177.81,,,,,,,,,,,,
