STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
06,1503,15030101,Havasu-Mohave Lake,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
06,1503,15030102,Piute Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
32,1503,15030102,Piute Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1503,15030103,Sacramento Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1503,15030104,Imperial Reservoir,1985,17.33,602.01,619.34,280.07,339.28,8.68,0.00,78.12,86.80,0.00,--
06,1503,15030104,Imperial Reservoir,1985,19.33,235.01,254.33,158.09,30.01,8.07,0.00,44.76,52.83,4.33,--
04,1503,15030105,Bouse Wash,1985,24.70,0.00,24.70,18.52,6.18,3.80,0.00,0.20,4.00,0.00,--
04,1503,15030106,Tyson Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
06,1503,15030107,Lower Colorado,1985,5.47,268.06,273.54,192.15,31.07,0.00,0.00,51.47,51.47,0.21,--
04,1503,15030107,Lower Colorado,1985,28.61,34.10,62.71,25.00,1.70,0.00,0.00,8.00,8.00,0.00,--
04,1503,15030108,Yuma Desert,1985,51.34,494.65,545.99,409.49,24.73,35.00,0.00,44.00,79.00,0.00,--
04,1503,15030201,Big Sandy,1985,0.03,0.03,0.07,0.02,0.01,0.00,0.00,0.02,0.02,0.00,--
04,1503,15030202,Burro,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1503,15030203,Santa Maria,1985,12.40,0.00,12.40,5.59,1.22,0.00,0.00,2.94,2.94,0.00,--
04,1503,15030204,Bill Williams,1985,1.21,1.21,2.42,1.14,0.11,0.30,0.00,0.30,0.60,0.00,--
35,1504,15040001,Upper Gila,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1504,15040002,Upper Gila-Mangas,1985,4.90,10.19,15.09,11.31,0.00,0.00,0.00,3.24,3.24,0.00,--
35,1504,15040002,Upper Gila-Mangas,1985,0.00,24.96,24.96,2.03,0.00,0.00,0.00,0.67,0.67,0.00,--
35,1504,15040003,Animas Valley,1985,28.60,0.00,28.60,13.96,0.00,1.46,0.00,7.38,8.84,0.00,--
04,1504,15040003,Animas Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
35,1504,15040004,San Francisco,1985,0.00,8.60,8.60,0.96,0.00,0.00,0.00,0.70,0.70,0.00,--
04,1504,15040004,San Francisco,1985,0.00,1.00,1.00,0.75,0.00,0.00,0.00,0.50,0.50,0.00,--
04,1504,15040005,Upper Gila-San Carlos Reservoir,1985,54.96,133.75,188.71,141.53,47.18,0.00,0.00,32.51,32.51,0.98,--
04,1504,15040006,San Simon,1985,44.84,0.00,44.84,33.63,0.00,6.66,0.00,3.34,10.00,0.00,--
35,1504,15040006,San Simon,1985,1.55,0.00,1.55,1.24,0.00,0.00,0.00,0.97,0.97,0.00,--
04,1504,15040007,San Carlos,1985,0.30,0.00,0.30,0.22,0.00,0.00,0.00,0.10,0.10,0.00,--
04,1505,15050100,Middle Gila,1985,245.91,655.56,901.47,535.78,255.35,10.98,0.00,163.23,174.21,6.08,--
04,1505,15050201,Willcox Playa,1985,86.41,0.00,86.41,64.81,0.00,6.40,0.00,12.76,19.16,0.00,--
04,1505,15050202,Upper San Pedro,1985,20.50,6.03,26.53,19.90,6.64,1.45,0.00,4.35,5.80,1.04,--
04,1505,15050203,Lower San Pedro,1985,19.80,0.70,20.49,15.37,0.00,0.00,0.00,4.58,4.58,0.00,--
04,1505,15050301,Upper Santa Cruz,1985,46.29,0.00,46.29,36.45,12.15,0.00,0.00,10.64,10.64,5.55,--
04,1505,15050302,Rillito,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,--
04,1505,15050303,Lower Santa Cruz,1985,457.91,82.73,540.64,343.63,190.69,0.00,0.00,103.77,103.77,1.46,--
04,1505,15050304,Brawley Wash,1985,21.25,0.00,21.25,15.94,0.00,0.00,0.00,4.66,4.66,0.00,--
04,1505,15050305,Aguirre Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1505,15050306,Santa Rosa Wash,1985,18.00,0.00,18.00,11.34,6.66,0.00,0.00,2.70,2.70,0.00,--
04,1506,15060101,Black,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1506,15060102,White,1985,1.10,0.00,1.10,0.78,0.06,0.30,0.00,0.00,0.30,0.00,--
04,1506,15060103,Upper Salt,1985,1.20,0.40,1.60,0.72,0.16,0.38,0.00,0.00,0.38,1.19,--
04,1506,15060104,Carrizo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1506,15060105,Tonto,1985,0.50,0.50,1.01,0.45,0.10,0.00,0.00,0.24,0.24,0.00,--
04,1506,15060106,Lower Salt,1985,258.39,358.55,616.94,320.39,159.25,22.95,0.00,52.36,75.31,8.79,--
04,1506,15060201,Big Chino-Williamson Valley,1985,4.85,0.00,4.85,2.19,0.48,0.00,0.00,1.15,1.15,0.00,--
04,1506,15060202,Upper Verde,1985,15.45,5.49,20.94,9.90,3.52,1.08,0.00,12.13,13.21,0.70,--
04,1506,15060203,Lower Verde,1985,1.56,1.56,3.12,1.17,0.78,0.00,0.00,0.62,0.62,0.00,--
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1985,329.24,161.63,490.86,285.61,77.75,29.80,0.00,42.82,72.62,0.01,--
04,1507,15070102,Agua Fria,1985,303.56,289.89,593.45,413.96,116.60,22.64,0.00,55.27,77.91,1.02,--
04,1507,15070103,Hassayampa,1985,7.81,0.81,8.62,3.87,0.86,0.32,0.00,1.11,1.43,0.00,--
04,1507,15070104,Centennial Wash,1985,171.04,0.00,171.04,79.66,17.10,7.69,0.00,17.94,25.63,0.00,--
04,1507,15070201,Lower Gila,1985,429.67,469.35,899.02,357.55,34.45,38.00,0.00,89.10,127.10,0.00,--
04,1507,15070202,Tenmile Wash,1985,23.33,0.00,23.33,17.50,0.00,0.00,0.00,18.00,18.00,0.00,--
04,1507,15070203,San Cristobal Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1508,15080101,San Simon Wash,1985,4.00,0.00,4.00,3.00,0.00,0.00,0.00,0.90,0.90,0.00,--
04,1508,15080102,Rio Sonoyta,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1508,15080103,Tule Desert,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1508,15080200,Rio De La Concepcion,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1508,15080301,Whitewater Draw,1985,44.29,0.00,44.29,33.22,0.00,7.35,0.00,2.45,9.80,1.22,--
04,1508,15080302,San Bernardino Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
35,1508,15080302,San Bernardino Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
