STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,PS-ToPop,PS-WGWTo,PS-WSWTo,PS-WTotl,PS-DelDO,PS-DelCO,PS-DelIN,PS-DelPT,PS-DelTO,,,,,,,,,,
04,1504,15040003,Animas Valley,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1504,15040003,Animas Valley,1985,3.230,0.85,0.00,0.85,0.85,0.00,0.00,0.00,0.85,,,,,,,,,,
04,1504,15040004,San Francisco,1985,6.920,0.35,0.68,1.03,1.03,0.00,0.00,0.00,1.03,,,,,,,,,,
35,1504,15040004,San Francisco,1985,0.440,0.08,0.00,0.08,0.08,0.00,0.00,0.00,0.08,,,,,,,,,,
04,1504,15040005,Upper Gila-San Carlos Reservoir,1985,13.410,2.90,0.00,2.90,2.90,0.00,0.00,0.00,2.90,,,,,,,,,,
04,1504,15040006,San Simon,1985,3.160,0.31,0.00,0.31,0.31,0.00,0.00,0.00,0.31,,,,,,,,,,
35,1504,15040006,San Simon,1985,0.120,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,,,,
04,1504,15040007,San Carlos,1985,3.790,2.00,0.00,2.00,2.00,0.00,0.00,0.00,2.00,,,,,,,,,,
04,1505,15050100,Middle Gila,1985,132.040,33.57,0.00,33.57,30.10,1.74,1.74,0.00,33.57,,,,,,,,,,
04,1505,15050201,Willcox Playa,1985,3.190,0.87,0.00,0.87,0.87,0.00,0.00,0.00,0.87,,,,,,,,,,
04,1505,15050202,Upper San Pedro,1985,54.420,5.40,0.00,5.40,5.40,0.00,0.00,0.00,5.40,,,,,,,,,,
04,1505,15050203,Lower San Pedro,1985,14.440,1.04,0.00,1.04,1.04,0.00,0.00,0.00,1.04,,,,,,,,,,
04,1505,15050301,Upper Santa Cruz,1985,384.250,44.06,0.00,44.06,36.68,3.69,3.69,0.00,44.06,,,,,,,,,,
04,1505,15050302,Rillito,1985,234.060,57.57,0.00,57.57,41.45,8.06,8.06,0.00,57.57,,,,,,,,,,
04,1505,15050303,Lower Santa Cruz,1985,22.500,9.60,0.00,9.60,9.57,0.01,0.01,0.00,9.60,,,,,,,,,,
04,1505,15050304,Brawley Wash,1985,15.670,13.84,0.00,13.84,13.84,0.00,0.00,0.00,13.84,,,,,,,,,,
04,1505,15050305,Aguirre Valley,1985,0.270,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.02,,,,,,,,,,
04,1505,15050306,Santa Rosa Wash,1985,3.890,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.25,,,,,,,,,,
04,1506,15060101,Black,1985,0.010,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,,,,,,,,,,
04,1506,15060102,White,1985,10.720,1.20,0.00,1.20,1.09,0.06,0.06,0.00,1.20,,,,,,,,,,
04,1506,15060103,Upper Salt,1985,15.780,3.09,0.00,3.09,2.78,0.16,0.16,0.00,3.09,,,,,,,,,,
04,1506,15060104,Carrizo,1985,0.150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1506,15060105,Tonto,1985,13.270,2.66,0.00,2.66,2.39,0.13,0.13,0.00,2.66,,,,,,,,,,
04,1506,15060106,Lower Salt,1985,1585.500,167.61,231.78,399.39,257.87,70.76,70.76,0.00,399.39,,,,,,,,,,
04,1506,15060201,Big Chino-Williamson Valley,1985,1.200,0.13,0.00,0.13,0.11,0.01,0.01,0.00,0.13,,,,,,,,,,
04,1506,15060202,Upper Verde,1985,63.690,10.53,0.00,10.53,9.02,1.13,0.37,0.00,10.53,,,,,,,,,,
04,1506,15060203,Lower Verde,1985,21.530,4.08,0.00,4.08,3.70,0.38,0.00,0.00,4.08,,,,,,,,,,
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1985,14.400,3.08,0.00,3.08,2.70,0.19,0.19,0.00,3.08,,,,,,,,,,
04,1507,15070102,Agua Fria,1985,113.160,27.70,0.00,27.70,22.41,2.65,2.65,0.00,27.70,,,,,,,,,,
04,1507,15070103,Hassayampa,1985,6.870,1.77,0.00,1.77,1.55,0.15,0.08,0.00,1.77,,,,,,,,,,
04,1507,15070104,Centennial Wash,1985,4.420,0.89,0.00,0.89,0.85,0.03,0.00,0.00,0.89,,,,,,,,,,
04,1507,15070201,Lower Gila,1985,16.400,2.03,0.77,2.80,2.80,0.03,0.00,0.00,2.84,,,,,,,,,,
04,1507,15070202,Tenmile Wash,1985,4.900,1.47,0.00,1.47,1.28,0.18,0.00,0.00,1.46,,,,,,,,,,
04,1507,15070203,San Cristobal Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1508,15080101,San Simon Wash,1985,5.690,0.47,0.00,0.47,0.47,0.00,0.00,0.00,0.47,,,,,,,,,,
